"","sd2.lon","sd2.lat"
"233",-116.96002,49.91068
"234",-123.05729,49.05376
"235",-119.39353,50.07865
"236",-121.93284,50.67901
"237",-124.2781,49.51692
"238",-116.95463,50.14584
"239",-116.0667,50.5333
"240",-132.19026,54.04641
"241",-120.67416,50.16341
"242",-124.13569,49.28496
"243",-117.72185,50.21475
"244",-123.93331,49.16676
"245",-117.29498,49.49305
"246",-119.51636,49.07872
"247",-124.81396,49.25731
"248",-122.76777,50.31629
"249",-119.7636,49.7549
"250",-119.596,49.52943
"251",-122.7648,53.91184
"252",-124.01504,49.6744
"253",-123.25715,48.76497
"254",-132.21287,53.6346
"255",-122.67292,49.28388
"256",-124.44566,49.81817
"257",-124.36002,49.34577
"258",-130.31457,54.28354
"259",-120.51545,49.46775
"260",-118.22057,51.00603
"261",-131.66684,54.00041
"262",-117.85001,49.10019
"263",-119.2333,50.70001
"264",-123.61671,49.46676
"265",-125.9167,50.3667
"266",-131.98764,53.21118
"267",-122.315,52.358
"268",-119.43196,50.9091
"269",-127.17575,54.77796
"270",-117.38027,50.01914
"271",-123.67186,48.34419
"272",-123.14518,49.73094
"273",-123.42781,48.69561
"274",-120.87234,50.75646
"275",-128.57501,54.47286
"276",-131.94231,53.56361
"277",-125.9086,49.15275
"278",-117.56661,49.13337
"279",-123.10501,49.26026
"280",-119.27685,50.26862
"281",-123.4,48.4667
"282",-119.59092,49.30918
"283",-122.95945,50.11594
"284",-122.1333,52.13333
"285",-122.71673,49.06736
"286",-122.177,50.8757
"287",-122,41.85
"288",-124.1667,41.85
"289",-121.3333,39.1167
"290",-116.9333,33.1167
"291",-123.8,39.3667
"292",-121.5,39.5
"293",-118.3667,33.7333
"294",-120.25,39.6833
"295",-118.35,34.0833
"296",-118.9667,34.1167
"297",-119.25,34.3
"298",-119.25,34.35
"299",-118.85,34.4667
"300",-119.0167,34.8333
"301",-119.1,35.15
"302",-122.2333,40.2
"303",-121.6,40.35
"304",-118.9167,35.45
